FPLot,Lac0001,Lac0002,Lac0003,Lac0004,Lac0005,Lac0006,Lac0007,Lac0008,Lac0009
L032,0.0,0.0,0.0,0.0,0.158056,0.8419439999999999,0.0,0.0,0.0
L033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L034,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L038,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L041,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L045,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L047,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L049,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
L052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L060,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
L080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887376,0.112624
L081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
